,r,g,b,eccentricity
0,0.4194078882815965,0.36348683984387137,0.21710527187453213,0.7711671501211548
1,0.4006514607987914,0.3811074883088197,0.2182410508923889,0.7884683630496688
2,0.407608695128415,0.39130434842466855,0.20108695644691643,0.849373500618381
3,0.4838709608883318,0.3569892508264965,0.15913978828517167,0.8403831717009678
4,0.3983999952529908,0.369599997354126,0.2320000073928832,0.8497293704052176
5,0.4578544019188708,0.3505747162414945,0.19157088183963472,0.8652776156171705
6,0.4715909039388096,0.3750000017991459,0.15340909426204455,0.8017412639924363
7,0.46311474918395096,0.379098362283237,0.157786888532812,0.8146415275143039
8,0.43868738951633507,0.3713298809834303,0.18998272950023468,0.711749010229913
9,0.448863632847124,0.3750000017991459,0.17613636535373015,0.7755440926835081
10,0.4159445396778856,0.3726169862053705,0.211438474116744,0.7492569477278453
11,0.460784309196706,0.3745098058207362,0.1647058849825578,0.775626311081523
12,0.45212765606250926,0.36524822929166045,0.18262411464583023,0.7506976720739066
13,0.4136212563771876,0.3588039847817285,0.2275747588410839,0.7865166211140228
