,r,g,b,eccentricity
0,0.45614034619908156,0.38157894890342636,0.16228070489749208,0.8104743944798335
1,0.41308793354332346,0.36196319313971614,0.2249488733169604,0.8490439831584362
2,0.4433399569645525,0.3717693858304291,0.1848906572050184,0.8406955933403709
3,0.4659340604277802,0.37142857381462857,0.16263736575759122,0.8470856936907698
4,0.4529058075945633,0.38677354810135917,0.16032064430407755,0.8782190017843524
5,0.45858585408859975,0.37373737575338634,0.16767677015801394,0.8575071063272466
6,0.4596949841649503,0.37037037282323637,0.16993464301181335,0.8808381700524847
7,0.4525691660128039,0.3675889352402262,0.17984189874696993,0.8241544087663023
8,0.46710525756608967,0.37061403753641825,0.16228070489749208,0.8811943916618228
9,0.4305019282644572,0.3687258710199869,0.20077220071555588,0.8832554109994386
10,0.4489795880385212,0.35102041196147876,0.2,0.8305740900572215
11,0.43902438722998527,0.3658536611737629,0.19512195159625184,0.8179790782196873
