,r,g,b,eccentricity
0,0.34999999155600886,0.45000000422199554,0.20000000422199557,0.8011522303887433
1,0.3454545366616291,0.45151515598139474,0.20303030735697614,0.826368268212004
2,0.38983050941021774,0.45036319149225496,0.1598062990975273,0.8563946751156564
3,0.3263472984406183,0.47904191807512436,0.19461078348425728,0.8471716691199134
4,0.3143418484596568,0.42829075770171615,0.25736739383862706,0.8436769865934157
5,0.37465565395770994,0.4848484810420276,0.14049586500026248,0.8568618533333343
6,0.3087431645199549,0.41256831327262516,0.27868852220741985,0.8581615103175583
7,0.3002159859828728,0.4103671630398394,0.2894168509772878,0.828198215946646
8,0.32485875063394337,0.45197740525369673,0.22316384411235993,0.8434537233118038
9,0.3224181434457243,0.4408060414343918,0.23677581511988394,0.8398569111207193
10,0.37714286371883055,0.48571428168184916,0.13714285459932027,0.8464639192767043
11,0.3369565145561512,0.4538043516420447,0.20923913380180412,0.84709379501752
12,0.30483271617018304,0.4107806625810243,0.28438662124879266,0.8507875729246397
13,0.3103448295942904,0.44061301744886705,0.24904215295684257,0.8583182567854998
14,0.3474387572321162,0.4298440954699001,0.22271714729798367,0.8113688139838995
15,0.3179611726148261,0.43689320048090663,0.2451456269042673,0.8256400913805744
16,0.31528046580883295,0.42940037837442463,0.2553191558167424,0.845090260216165
17,0.3141592992517075,0.43584070495160665,0.24999999579668583,0.8450143123652291
18,0.2722063017907295,0.37249284778226266,0.35530085042700776,0.8477343012063533
19,0.3203661396474245,0.4073226538255242,0.2723112065270513,0.8333400508319359
20,0.3033707819595932,0.44101124099202854,0.25561797704837824,0.8415095309007654
21,0.3265306128203848,0.3988868219126552,0.27458256526696,0.8348240871514351
22,0.36659878058895784,0.4215885930339663,0.21181262637707587,0.8393505519809829
23,0.31236897972704464,0.4255765178787095,0.2620545023942459,0.8232440288569517
24,0.32418953336818784,0.433915208756337,0.24189525787547514,0.8365243001210976
25,0.3146997996712917,0.4409937855948647,0.24430641473384365,0.8451213407227905
26,0.3085399400013256,0.4600550997638013,0.23140496023487303,0.8559900836581561
27,0.32945736953580673,0.43604650897346137,0.23449612149073187,0.8478470744975978
